Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,4657.3435,23.1878,23.0129,0.1749,22.8087,6.0116,5.7332,0.2784,31.4538,20.8345,3.6434,4657.3435,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,4680.5313,21.9951,21.8470,0.1481,21.4757,6.1691,5.9472,0.2219,29.1005,24.9975,2.3533,4680.5313,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,4702.5264,21.4661,21.3499,0.1162,21.0595,5.7713,5.6825,0.0888,32.1029,20.8368,-3.0024,4702.5264,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,4723.9925,21.7147,21.5946,0.1201,21.2559,5.7334,5.6898,0.0436,31.4736,20.8302,0.6293,4723.9925,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,4745.7072,21.5055,21.3876,0.1179,21.1864,6.5955,6.4208,0.1747,30.5891,20.8368,0.8845,4745.7072,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,4767.2127,21.9192,21.8006,0.1186,21.5143,5.7815,5.6817,0.0998,29.9204,25.0141,0.6687,4767.2127,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,4789.1319,22.6735,22.5385,0.1350,22.2466,5.8116,5.6744,0.1372,33.0153,20.8298,-3.0949,4789.1319,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,4811.8054,22.2531,22.1399,0.1132,21.7868,6.5931,6.4837,0.1094,31.1716,25.0085,1.8437,4811.8054,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,4834.0585,23.4186,23.3065,0.1121,23.0485,5.9460,5.8638,0.0822,33.9270,20.8552,-2.7554,4834.0585,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,4857.4771,21.4297,21.3203,0.1094,20.9455,6.2490,5.8303,0.4187,31.3636,20.8174,2.5634,4857.4771,NA,NA,NA
